design,n,method,cls,truth,bias,rmse,coverage,width,reps
srs,300,classical,2,0.1908141589406603,0.0010458410593396892,0.023032604068755826,0.928,0.08886909707077864,500
srs,300,classical,3,0.020577316312957852,-0.00015064964629118522,0.008418008855644274,0.926,0.031176057197497022,500
srs,300,classical,4,0.20052212582636836,-0.0004287924930350246,0.02236062105830682,0.964,0.09032167327674476,500
srs,300,classical,5,0.011832205038613488,-0.0002055383719468205,0.006326011681946243,0.848,0.02307696408207154,500
srs,300,classical,6,0.1948343292767664,-4.766261009972145e-05,0.02122003991387914,0.96,0.08942417462088414,500
srs,300,classical,7,0.016596851362887376,-0.0004835180295540418,0.007232246517155221,0.854,0.027602414930213155,500
srs,300,classical,8,0.3328800301760934,-0.00036003017609341313,0.025596903014816465,0.968,0.10644414653885628,500
srs,300,classical,10,0.0074149808421512375,0.0004183524911820963,0.005032396924615374,0.91,0.01836083749847089,500
srs,300,classical,12,0.016596851362887376,0.00040981530377929155,0.007943348980603594,0.854,0.02828345693387332,500
srs,300,classical,13,0.007931150860614243,-0.000197817527280909,0.0052208150275486025,0.898,0.018089784636462446,500
srs,300,map_count,2,0.1908141589406603,0.001181235234559569,0.001181235234559569,,,500
srs,300,map_count,3,0.020577316312957852,0.0029779039526711786,0.0029779039526711786,,,500
srs,300,map_count,4,0.20052212582636836,-0.027972444462091295,0.0279724444620913,,,500
srs,300,map_count,5,0.011832205038613488,0.018453078160052414,0.018453078160052414,,,500
srs,300,map_count,6,0.1948343292767664,-0.03718409402235412,0.03718409402235412,,,500
srs,300,map_count,7,0.016596851362887376,0.04642552262214369,0.04642552262214369,,,500
srs,300,map_count,8,0.3328800301760934,-0.0010124873439082416,0.0010124873439082416,,,500
srs,300,map_count,10,0.0074149808421512375,0.0064620515772964605,0.00646205157729646,,,500
srs,300,map_count,12,0.016596851362887376,-0.0013996148577554539,0.0013996148577554539,,,500
srs,300,map_count,13,0.007931150860614243,-0.007931150860614243,0.007931150860614244,,,500
srs,300,olofsson,2,0.1908141589406603,0.0001322451696100971,0.01212608511614117,0.964,0.04964810343532758,500
srs,300,olofsson,3,0.020577316312957852,-0.00040694922193198726,0.00559759940759955,0.842,0.019078780035009422,500
srs,300,olofsson,4,0.20052212582636836,8.546166359321239e-05,0.013645443656601551,0.934,0.05250953326086367,500
srs,300,olofsson,5,0.011832205038613488,-0.00011274553846830173,0.00623233113888831,0.864,0.02172825969473252,500
srs,300,olofsson,6,0.1948343292767664,0.00033176123827189746,0.015455902766192051,0.954,0.0624900173481409,500
srs,300,olofsson,7,0.016596851362887376,-0.0002674473722127944,0.006721006939797046,0.922,0.026173951544994835,500
srs,300,olofsson,8,0.3328800301760934,-0.00019775506507346073,0.005816847470126144,0.92,0.020798347347541178,500
srs,300,olofsson,10,0.0074149808421512375,0.00086612903668495,0.004317762610050919,0.786,0.013907888618133735,500
srs,300,olofsson,12,0.016596851362887376,3.1424702892375464e-05,0.0044709838366272575,0.758,0.014209997333241846,500
srs,300,olofsson,13,0.007931150860614243,-0.0004621246133660336,0.005279879757941438,0.828,0.017042309648789063,500
srs,300,ppi_hard,2,0.1908141589406603,5.829441550544073e-05,0.012668700544553506,0.972,0.05235443779267049,500
srs,300,ppi_hard,3,0.020577316312957852,-0.0003894739097135259,0.0057270943719493084,0.898,0.020824678346115944,500
srs,300,ppi_hard,4,0.20052212582636836,-7.80667010356596e-05,0.014906458937676177,0.934,0.05750659777632071,500
srs,300,ppi_hard,5,0.011832205038613488,-0.00022029912939888345,0.009060856266828501,0.924,0.035224479477453795,500
srs,300,ppi_hard,6,0.1948343292767664,-0.0002112478300940181,0.016888864442166848,0.952,0.06848961180896838,500
srs,300,ppi_hard,7,0.016596851362887376,0.0007157606254574712,0.01303609725903362,0.932,0.0492110458300907,500
srs,300,ppi_hard,8,0.3328800301760934,-7.831509010680238e-05,0.005943451508943207,0.98,0.022112986219276178,500
srs,300,ppi_hard,10,0.0074149808421512375,0.0005023015695888709,0.005179061024619562,0.902,0.019551324399320554,500
srs,300,ppi_hard,12,0.016596851362887376,-0.00010113642292202261,0.004405501683982306,0.794,0.015097043161537878,500
srs,300,ppi_hard,13,0.007931150860614243,-0.00019781752728090867,0.0052208150275486025,0.898,0.018089784636462446,500
