design,n,method,cls,truth,bias,rmse,coverage,width,reps
srs,300,classical,2,0.1908141589406603,0.0011858410593396929,0.009869458901987278,1.0,0.08909604257491067,5
srs,300,classical,3,0.020577316312957852,-0.0019106496462911848,0.006470919895431781,1.0,0.030157374727778317,5
srs,300,classical,4,0.20052212582636836,0.010811207506964977,0.022400247691656106,1.0,0.09223048156789267,5
srs,300,classical,5,0.011832205038613488,0.0015011282947198462,0.008565307774290404,0.6,0.024182278206379134,5
srs,300,classical,6,0.1948343292767664,0.007165670723233608,0.020127707636280516,1.0,0.09071010662514967,5
srs,300,classical,7,0.016596851362887376,-0.0072635180295540416,0.008503778555513554,0.6,0.02109422200251735,5
srs,300,classical,8,0.3328800301760934,-0.008213363509426742,0.022088544193369267,1.0,0.10585899395526868,5
srs,300,classical,10,0.0074149808421512375,-0.0007483141754845704,0.003073900290204619,1.0,0.017908564904326074,5
srs,300,classical,12,0.016596851362887376,-0.0012635180295540419,0.006310206021456855,1.0,0.02728576988173732,5
srs,300,classical,13,0.007931150860614243,-0.0012644841939475756,0.0024583255929977407,1.0,0.018162791916810795,5
srs,300,map_count,2,0.1908141589406603,0.001181235234559569,0.001181235234559569,,,5
srs,300,map_count,3,0.020577316312957852,0.0029779039526711786,0.0029779039526711786,,,5
srs,300,map_count,4,0.20052212582636836,-0.027972444462091295,0.027972444462091295,,,5
srs,300,map_count,5,0.011832205038613488,0.018453078160052414,0.018453078160052414,,,5
srs,300,map_count,6,0.1948343292767664,-0.03718409402235412,0.03718409402235412,,,5
srs,300,map_count,7,0.016596851362887376,0.04642552262214369,0.04642552262214369,,,5
srs,300,map_count,8,0.3328800301760934,-0.0010124873439082416,0.0010124873439082416,,,5
srs,300,map_count,10,0.0074149808421512375,0.00646205157729646,0.0064620515772964605,,,5
srs,300,map_count,12,0.016596851362887376,-0.0013996148577554539,0.0013996148577554539,,,5
srs,300,map_count,13,0.007931150860614243,-0.007931150860614243,0.007931150860614243,,,5
srs,300,olofsson,2,0.1908141589406603,0.004554543488727153,0.01063534767770266,1.0,0.0458972054903653,5
srs,300,olofsson,3,0.020577316312957852,0.0012769890271329583,0.004004681481572845,0.8,0.02116512552443405,5
srs,300,olofsson,4,0.20052212582636836,0.004137929929656653,0.010956076327571396,1.0,0.05535642618923041,5
srs,300,olofsson,5,0.011832205038613488,-0.0018255971427935448,0.005425509840740255,0.6,0.01775556026673857,5
srs,300,olofsson,6,0.1948343292767664,0.0003079823134932602,0.007417732866460889,1.0,0.06196107938907854,5
srs,300,olofsson,7,0.016596851362887376,-0.005401932021666093,0.007299499749327379,0.8,0.023940102077073096,5
srs,300,olofsson,8,0.3328800301760934,0.0018022306896234852,0.005895537556184169,1.0,0.02163351256789996,5
srs,300,olofsson,10,0.0074149808421512375,-0.001079851140898172,0.0029482312696244004,1.0,0.01540798437907103,5
srs,300,olofsson,12,0.016596851362887376,-0.002363823767583281,0.002842559700527678,0.6,0.014976782313262183,5
srs,300,olofsson,13,0.007931150860614243,-0.001408471375692462,0.0026893332510493635,1.0,0.015146352642184963,5
srs,300,ppi_hard,2,0.1908141589406603,0.004524510805727333,0.012053555050260597,1.0,0.04684853008849289,5
srs,300,ppi_hard,3,0.020577316312957852,0.0023238472109332145,0.005007841808027421,0.8,0.01899907944775689,5
srs,300,ppi_hard,4,0.20052212582636836,0.0013326626751217264,0.011328079656363106,1.0,0.05992330814175133,5
srs,300,ppi_hard,5,0.011832205038613488,-0.00489931507890208,0.005337440429828722,1.0,0.037741838381726546,5
srs,300,ppi_hard,6,0.1948343292767664,-0.0038836645481999887,0.010833923029247967,1.0,0.06820702635621594,5
