true_class,1,2,3,4,5,6,7,8,9,10,11,12
1,8,36,70,27,15,123,6,6,5,46,10,0
2,9,281,22,43,6,129,1,15,25,66,3,0
3,0,0,5836,139,595,47,183,14,2,247,0,0
4,1,7,247,7876,414,1086,751,223,22,186,132,0
5,2,2,1921,713,1392,336,158,44,8,160,3,0
6,14,74,264,1158,154,8059,1006,271,21,138,1612,0
7,0,0,316,823,124,1230,3726,202,2,51,64,0
8,4,8,78,264,33,258,197,8019,1153,83,293,3
9,1,21,6,29,2,26,0,738,10474,43,1,0
10,1,13,471,315,136,130,44,62,35,4055,42,0
11,1,0,10,472,10,1691,54,210,6,29,6413,18
12,0,0,0,0,0,0,0,13,0,0,56,90
