true_class,1,2,3,4,5,6,7,8,9,10,11,12
1,5,39,73,20,9,118,8,11,8,50,11,0
2,10,291,22,41,6,114,2,12,29,63,10,0
3,0,1,5921,131,519,46,204,20,1,219,1,0
4,1,11,325,7815,379,1094,740,213,22,194,151,0
5,2,2,2070,670,1274,342,172,44,7,150,6,0
6,11,73,302,1161,140,7959,1036,294,20,127,1648,0
7,0,0,378,777,116,1186,3732,220,0,54,75,0
8,2,8,82,249,30,219,217,8066,1134,94,288,4
9,0,22,6,23,5,19,1,692,10527,45,1,0
10,2,17,519,291,112,114,39,82,45,4044,39,0
11,1,0,11,442,14,1631,61,216,3,33,6490,12
12,0,0,0,0,0,0,0,13,0,0,56,90
