fold,setup,class,f1,support
0,cg_llto,1,0.1045,105
0,cg_llto,2,0.5785,201
0,cg_llto,3,0.7719,2479
0,cg_llto,4,0.6668,3113
0,cg_llto,5,0.4303,1577
0,cg_llto,6,0.6337,3896
0,cg_llto,7,0.564,2120
0,cg_llto,8,0.7433,3087
0,cg_llto,9,0.9029,4394
0,cg_llto,10,0.6713,771
0,cg_llto,11,0.7156,2800
0,cg_llto,12,0.6528,88
0,cg_llto_raps,1,0.062,105
0,cg_llto_raps,2,0.5416,201
0,cg_llto_raps,3,0.7699,2479
0,cg_llto_raps,4,0.6743,3113
0,cg_llto_raps,5,0.4138,1577
0,cg_llto_raps,6,0.6357,3896
0,cg_llto_raps,7,0.572,2120
0,cg_llto_raps,8,0.7429,3087
0,cg_llto_raps,9,0.9027,4394
0,cg_llto_raps,10,0.6625,771
0,cg_llto_raps,11,0.7186,2800
0,cg_llto_raps,12,0.6222,88
1,cg_llto,1,0.0,61
1,cg_llto,2,0.5798,116
1,cg_llto,3,0.7986,1946
1,cg_llto,4,0.7336,3736
1,cg_llto,5,0.3339,605
1,cg_llto,6,0.661,3974
1,cg_llto,7,0.6534,2078
1,cg_llto,8,0.8326,3253
1,cg_llto,9,0.9027,2594
1,cg_llto,10,0.798,1412
1,cg_llto,11,0.7937,3102
1,cg_llto,12,0.6842,65
1,cg_llto_raps,1,0.0,61
1,cg_llto_raps,2,0.5804,116
1,cg_llto_raps,3,0.7934,1946
1,cg_llto_raps,4,0.7343,3736
1,cg_llto_raps,5,0.3285,605
1,cg_llto_raps,6,0.6572,3974
1,cg_llto_raps,7,0.6417,2078
1,cg_llto_raps,8,0.8324,3253
1,cg_llto_raps,9,0.9022,2594
1,cg_llto_raps,10,0.8054,1412
1,cg_llto_raps,11,0.7926,3102
1,cg_llto_raps,12,0.75,65
2,cg_llto,1,0.0101,186
2,cg_llto,2,0.4853,283
2,cg_llto,3,0.631,2638
2,cg_llto,4,0.6736,4096
2,cg_llto,5,0.3264,2557
2,cg_llto,6,0.5824,4901
2,cg_llto,7,0.5344,2340
2,cg_llto,8,0.7964,4053
2,cg_llto,9,0.9139,4353
2,cg_llto,10,0.799,3121
2,cg_llto,11,0.6819,3012
2,cg_llto,12,0.6667,6
2,cg_llto_raps,1,0.0102,186
2,cg_llto_raps,2,0.5353,283
2,cg_llto_raps,3,0.6174,2638
2,cg_llto_raps,4,0.6707,4096
2,cg_llto_raps,5,0.3015,2557
2,cg_llto_raps,6,0.5803,4901
2,cg_llto_raps,7,0.5318,2340
2,cg_llto_raps,8,0.8015,4053
2,cg_llto_raps,9,0.9221,4353
2,cg_llto_raps,10,0.7983,3121
2,cg_llto_raps,11,0.6886,3012
2,cg_llto_raps,12,0.6,6
