class,cg_llto,cg_llto_raps,delta_raps_minus_cg
1,0.0382,0.0241,-0.014099999999999998
2,0.5479,0.5524,0.0044999999999999485
3,0.7338,0.7269,-0.006900000000000017
4,0.6913,0.6931,0.0018000000000000238
5,0.3635,0.3479,-0.015600000000000003
6,0.6257,0.6244,-0.0013000000000000789
7,0.5839,0.5818,-0.0020999999999999908
8,0.7908,0.7923,0.0015000000000000568
9,0.9065,0.909,0.0025000000000000577
10,0.7561,0.7554,-0.0007000000000000339
11,0.7304,0.7333,0.0028999999999999027
12,0.6679,0.6574,-0.010500000000000065
