class,fscs,megan,total,class_name,pct_megan,pct_increase
1,352,0,352,bare/rock/sand,0.0,0.0
2,600,0,600,bare (merged 1+2),0.0,0.0
3,7063,5000,12063,cropland,41.4,70.8
4,10945,19866,30811,forest,64.5,181.5
5,4739,4998,9737,grassland,51.3,105.5
6,12771,4789,17560,scrub/heathland,27.3,37.5
7,6538,4949,11487,wetland,43.1,75.7
8,10393,15994,26387,water,60.6,153.9
9,11341,0,11341,marine,0.0,0.0
10,5304,14974,20278,settlement,73.8,282.3
11,8914,4982,13896,infrastructure,35.9,55.9
12,159,4665,4824,snow/ice,96.7,2934.0
