alpha,target_coverage,lam,tau,coverage,avg_set_size,median_set_size,max_set_size,pct_singleton,pct_empty
0.05,0.95,0.02,0.9823,0.9534,8.0039,3.0,22,0.4059,0.0046
0.05,0.95,0.05,1.019,0.955,4.7737,3.0,17,0.2147,0.0
0.05,0.95,0.1,1.1414,0.9554,4.1109,3.0,11,0.0,0.0
0.05,0.95,0.2,1.4517,0.9544,4.1071,4.0,8,0.0,0.0
0.05,0.95,0.5,2.507,0.9544,4.3545,4.0,6,0.0,0.0
0.1,0.9,0.02,0.9305,0.9051,6.8923,1.0,22,0.5,0.0268
0.1,0.9,0.05,0.9599,0.9092,3.8676,2.0,16,0.4856,0.0131
0.1,0.9,0.1,1.006,0.9064,2.7573,2.0,9,0.4153,0.0
0.1,0.9,0.2,1.1535,0.9047,2.6144,2.0,6,0.0887,0.0
0.1,0.9,0.5,1.7613,0.9082,2.8622,3.0,5,0.0,0.0
0.2,0.8,0.02,0.8252,0.8042,5.0125,1.0,22,0.5592,0.0876
0.2,0.8,0.05,0.8511,0.8064,2.8163,1.0,14,0.564,0.0707
0.2,0.8,0.1,0.8872,0.8055,2.0378,1.0,8,0.5726,0.051
0.2,0.8,0.2,0.945,0.8102,1.6606,1.0,5,0.5912,0.0198
0.2,0.8,0.5,1.1294,0.8085,1.6027,2.0,3,0.4544,0.0
