n_train_used,n_val_used,train_time_s,val_time_s,f1_macro,balanced_accuracy,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6,f1_class_7,f1_class_8,f1_class_9,f1_class_10,f1_class_11,model,fold,n_train,wall_s
1000,26373,0.18,0.03,0.5477,0.5431,0.0265,0.3307,0.7213,0.6459,0.4597,0.5735,0.5655,0.7731,0.9084,0.7332,0.7042,0.1304,linear,0,1000,0.5
2695,26373,3.59,0.04,0.5994,0.588,0.0276,0.4174,0.733,0.6978,0.4931,0.619,0.5872,0.8004,0.924,0.7803,0.7291,0.3846,linear,0,2695,3.9
7263,26373,5.32,0.03,0.6351,0.6228,0.0265,0.5045,0.7536,0.7094,0.5204,0.641,0.5828,0.8125,0.9233,0.7976,0.7439,0.6061,linear,0,7263,5.6
19572,26373,9.61,0.02,0.6414,0.6254,0.028,0.527,0.7585,0.7146,0.5268,0.6455,0.5962,0.8178,0.9233,0.8123,0.7434,0.6032,linear,0,19572,9.8
52746,26373,21.79,0.02,0.6468,0.6306,0.0432,0.5346,0.7653,0.7154,0.5376,0.6464,0.6065,0.8207,0.9281,0.8138,0.7464,0.6032,linear,0,52746,22.0
1000,26373,0.18,0.02,0.5538,0.5433,0.0263,0.4779,0.72,0.6728,0.4218,0.5409,0.5467,0.7637,0.9045,0.7082,0.6734,0.1895,linear,1,1000,0.4
2695,26373,5.23,0.03,0.6194,0.6095,0.0963,0.3807,0.7409,0.7031,0.4612,0.5872,0.5853,0.7907,0.913,0.7644,0.7124,0.6974,linear,1,2695,5.5
7263,26373,9.58,0.04,0.6328,0.6297,0.0745,0.444,0.7562,0.7122,0.4895,0.601,0.6032,0.8045,0.9176,0.7743,0.7291,0.6879,linear,1,7263,9.9
19572,26373,16.11,0.04,0.6446,0.6397,0.0276,0.5509,0.7663,0.7155,0.5243,0.6237,0.6087,0.8093,0.9221,0.7807,0.7433,0.6623,linear,1,19572,16.4
52746,26373,21.65,0.01,0.6479,0.642,0.0272,0.5466,0.7702,0.7151,0.5254,0.6162,0.6081,0.8106,0.9202,0.788,0.7418,0.7059,linear,1,52746,21.8
1000,26373,0.13,0.02,0.5721,0.5555,0.0896,0.3389,0.7251,0.6672,0.3966,0.6146,0.5307,0.7654,0.8973,0.7588,0.7137,0.3673,linear,2,1000,0.4
2695,26373,2.37,0.02,0.6055,0.5954,0.0637,0.3631,0.739,0.6878,0.443,0.6448,0.5907,0.7919,0.9112,0.7835,0.7382,0.5091,linear,2,2695,2.6
7263,26373,6.28,0.03,0.6306,0.6164,0.0938,0.4387,0.7531,0.7006,0.4466,0.6566,0.6185,0.8042,0.9153,0.8082,0.7457,0.5862,linear,2,7263,6.5
19572,26373,8.95,0.03,0.6423,0.6313,0.0367,0.5091,0.7604,0.7085,0.4739,0.6631,0.6165,0.8135,0.919,0.8129,0.7506,0.6441,linear,2,19572,9.2
52746,26373,20.24,0.02,0.6518,0.6429,0.0714,0.5076,0.7648,0.7094,0.4829,0.6642,0.623,0.8099,0.9144,0.8167,0.7585,0.6984,linear,2,52746,20.4
